15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,,125mm Copper Pipe,,150mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0147,0.564,0.0147,1.758,0.0147,4.011,0.0147,8.119,0.0147,13.946,0.0147,33.348,0.0147,63.278,0.0147,101.982,,,,,,
0.0148,0.566,0.0148,1.763,0.0148,4.028,0.0148,8.149,0.0148,13.997,0.0148,33.45,0.0148,63.522,0.0148,102.333,,,,,,
0.0149,0.568,0.0149,1.769,0.0149,4.045,0.0149,8.179,0.0149,14.048,0.0149,33.552,0.0149,63.767,0.0149,102.684,,,,,,
0.015,0.57,0.015,1.774,0.015,4.062,0.015,8.209,0.015,14.1,0.015,33.654,0.015,64.011,0.015,103.035,,,,,,
0.0151,0.572,0.0151,1.779,0.0151,4.079,0.0151,8.239,0.0151,14.151,0.0151,33.756,0.0151,64.256,0.0151,103.386,,,,,,
0.0152,0.574,0.0152,1.784,0.0152,4.096,0.0152,8.268,0.0152,14.202,0.0152,33.858,0.0152,64.501,0.0152,103.737,,,,,,
0.0153,0.576,0.0153,1.789,0.0153,4.113,0.0153,8.298,0.0153,14.253,0.0153,33.96,0.0153,64.745,0.0153,104.088,,,,,,
0.0154,0.578,0.0154,1.794,0.0154,4.13,0.0154,8.328,0.0154,14.304,0.0154,34.062,0.0154,64.99,0.0154,104.439,,,,,,
0.0155,0.581,0.0155,1.799,0.0155,4.147,0.0155,8.358,0.0155,14.355,0.0155,34.164,0.0155,65.234,0.0155,104.79,,,,,,
0.0156,0.583,0.0156,1.804,0.0156,4.164,0.0156,8.387,0.0156,14.406,0.0156,34.266,0.0156,65.479,0.0156,105.14,,,,,,
0.0157,0.585,0.0157,1.809,0.0157,4.181,0.0157,8.417,0.0157,14.457,0.0157,34.368,0.0157,65.723,0.0157,105.491,,,,,,
0.0158,0.587,0.0158,1.814,0.0158,4.198,0.0158,8.447,0.0158,14.508,0.0158,34.47,0.0158,65.968,0.0158,105.842,,,,,,
0.0159,0.589,0.0159,1.82,0.0159,4.215,0.0159,8.477,0.0159,14.559,0.0159,34.573,0.0159,66.213,0.0159,106.193,,,,,,
0.016,0.591,0.016,1.825,0.016,4.232,0.016,8.507,0.016,14.61,0.016,34.675,0.016,66.457,0.016,106.544,,,,,,
