15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,,125mm Copper Pipe,,150mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.009,0.43,0.009,1.514,0.009,3.478,0.009,6.649,0.009,11.457,0.009,29.667,0.009,33.759,0.009,82.351,,,,,,
0.0091,0.434,0.0091,1.522,0.0091,3.499,0.0091,6.68,0.0091,11.509,0.0091,29.769,0.0091,35.958,0.0091,82.811,,,,,,
0.0092,0.438,0.0092,1.53,0.0092,3.519,0.0092,6.711,0.0092,11.56,0.0092,29.871,0.0092,38.158,0.0092,83.271,,,,,,
0.0093,0.442,0.0093,1.539,0.0093,3.54,0.0093,6.742,0.0093,11.611,0.0093,29.974,0.0093,40.357,0.0093,83.732,,,,,,
0.0094,0.446,0.0094,1.547,0.0094,3.56,0.0094,6.772,0.0094,11.662,0.0094,30.076,0.0094,42.556,0.0094,84.192,,,,,,
0.0095,0.45,0.0095,1.555,0.0095,3.58,0.0095,6.803,0.0095,11.713,0.0095,30.178,0.0095,44.756,0.0095,84.652,,,,,,
0.0096,0.454,0.0096,1.563,0.0096,3.601,0.0096,6.834,0.0096,11.764,0.0096,30.281,0.0096,46.955,0.0096,85.113,,,,,,
0.0097,0.458,0.0097,1.571,0.0097,3.621,0.0097,6.864,0.0097,11.816,0.0097,30.383,0.0097,49.155,0.0097,85.573,,,,,,
0.0098,0.462,0.0098,1.579,0.0098,3.642,0.0098,6.895,0.0098,11.867,0.0098,30.485,0.0098,51.354,0.0098,86.034,,,,,,
0.0099,0.466,0.0099,1.588,0.0099,3.662,0.0099,6.926,0.0099,11.918,0.0099,30.587,0.0099,53.554,0.0099,86.494,,,,,,
0.01,0.471,0.01,1.596,0.01,3.683,0.01,6.956,0.01,11.969,0.01,30.69,0.01,55.753,0.01,86.954,,,,,,
0.0101,0.474,0.0101,1.602,0.0101,3.691,0.0101,6.997,0.0101,12.039,0.0101,30.792,0.0101,55.999,0.0101,87.507,,,,,,
0.0102,0.477,0.0102,1.609,0.0102,3.699,0.0102,7.038,0.0102,12.108,0.0102,30.894,0.0102,56.244,0.0102,88.059,,,,,,
0.0103,0.48,0.0103,1.616,0.0103,3.707,0.0103,7.079,0.0103,12.178,0.0103,30.997,0.0103,56.49,0.0103,88.611,,,,,,
0.0104,0.484,0.0104,1.622,0.0104,3.716,0.0104,7.12,0.0104,12.247,0.0104,31.099,0.0104,56.735,0.0104,89.164,,,,,,
0.0105,0.487,0.0105,1.629,0.0105,3.724,0.0105,7.161,0.0105,12.317,0.0105,31.201,0.0105,56.981,0.0105,89.716,,,,,,
0.0106,0.49,0.0106,1.635,0.0106,3.732,0.0106,7.202,0.0106,12.386,0.0106,31.304,0.0106,57.226,0.0106,90.269,,,,,,
0.0107,0.493,0.0107,1.642,0.0107,3.74,0.0107,7.243,0.0107,12.456,0.0107,31.406,0.0107,57.472,0.0107,90.821,,,,,,
0.0108,0.497,0.0108,1.648,0.0108,3.748,0.0108,7.284,0.0108,12.525,0.0108,31.508,0.0108,57.717,0.0108,91.374,,,,,,
0.0109,0.5,0.0109,1.655,0.0109,3.756,0.0109,7.325,0.0109,12.595,0.0109,31.61,0.0109,57.963,0.0109,91.926,,,,,,
0.011,0.503,0.011,1.661,0.011,3.765,0.011,7.366,0.011,12.665,0.011,31.713,0.011,58.208,0.011,92.478,,,,,,
0.0111,0.507,0.0111,1.668,0.0111,3.773,0.0111,7.406,0.0111,12.734,0.0111,31.815,0.0111,58.454,0.0111,93.031,,,,,,
0.0112,0.51,0.0112,1.674,0.0112,3.781,0.0112,7.447,0.0112,12.804,0.0112,31.917,0.0112,58.699,0.0112,93.583,,,,,,
0.0113,0.513,0.0113,1.681,0.0113,3.789,0.0113,7.488,0.0113,12.873,0.0113,32.02,0.0113,58.945,0.0113,94.136,,,,,,
0.0114,0.516,0.0114,1.688,0.0114,3.797,0.0114,7.529,0.0114,12.943,0.0114,32.122,0.0114,59.19,0.0114,94.688,,,,,,
0.0115,0.52,0.0115,1.694,0.0115,3.806,0.0115,7.57,0.0115,13.012,0.0115,32.224,0.0115,59.436,0.0115,95.24,,,,,,
0.0116,0.523,0.0116,1.701,0.0116,3.814,0.0116,7.611,0.0116,13.082,0.0116,32.327,0.0116,59.681,0.0116,95.793,,,,,,
0.0117,0.526,0.0117,1.707,0.0117,3.822,0.0117,7.652,0.0117,13.152,0.0117,32.429,0.0117,59.927,0.0117,96.345,,,,,,
0.0118,0.529,0.0118,1.714,0.0118,3.83,0.0118,7.693,0.0118,13.221,0.0118,32.531,0.0118,60.172,0.0118,96.898,,,,,,
