6mm Copper Pipe,,8mm Copper Pipe,,10mm Copper Pipe,,15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0088,0,0.0088,0,0.0088,0,0.0088,0.548,0.0088,1.866,0.0088,4.235,0.0088,8.221,0.0088,14.117,0.0088,34.372,0.0088,58.72,0.0088,93.829,,
0.0089,0,0.0089,0,0.0089,0.205,0.0089,0.55,0.0089,1.874,0.0089,4.266,0.0089,8.284,0.0089,14.22,0.0089,34.577,0.0089,59.027,0.0089,94.483,,
0.009,0,0.009,0,0.009,0.209,0.009,0.552,0.009,1.882,0.009,4.297,0.009,8.348,0.009,14.322,0.009,34.782,0.009,59.333,0.009,95.138,,
0.0091,0,0.0091,0,0.0091,0.212,0.0091,0.557,0.0091,1.899,0.0091,4.337,0.0091,8.393,0.0091,14.408,0.0091,34.884,0.0091,59.743,0.0091,95.854,,
0.0092,0,0.0092,0,0.0092,0.216,0.0092,0.561,0.0092,1.915,0.0092,4.378,0.0092,8.438,0.0092,14.494,0.0092,34.986,0.0092,60.152,0.0092,96.57,,
0.0093,0,0.0093,0,0.0093,0.22,0.0093,0.565,0.0093,1.931,0.0093,4.419,0.0093,8.483,0.0093,14.58,0.0093,35.089,0.0093,60.561,0.0093,97.286,,
0.0094,0,0.0094,0,0.0094,0.223,0.0094,0.569,0.0094,1.948,0.0094,4.46,0.0094,8.528,0.0094,14.666,0.0094,35.191,0.0094,60.97,0.0094,98.003,,
0.0095,0,0.0095,0,0.0095,0.227,0.0095,0.573,0.0095,1.964,0.0095,4.501,0.0095,8.573,0.0095,14.752,0.0095,35.293,0.0095,61.379,0.0095,98.719,,
0.0096,0,0.0096,0,0.0096,0.231,0.0096,0.577,0.0096,1.981,0.0096,4.542,0.0096,8.618,0.0096,14.837,0.0096,35.395,0.0096,61.789,0.0096,99.435,,
0.0097,0,0.0097,0,0.0097,0.234,0.0097,0.581,0.0097,1.997,0.0097,4.583,0.0097,8.663,0.0097,14.923,0.0097,35.498,0.0097,62.198,0.0097,100.151,,
0.0098,0,0.0098,0,0.0098,0.238,0.0098,0.585,0.0098,2.013,0.0098,4.624,0.0098,8.708,0.0098,15.009,0.0098,35.6,0.0098,62.607,0.0098,100.867,,
0.0099,0,0.0099,0,0.0099,0.242,0.0099,0.589,0.0099,2.03,0.0099,4.665,0.0099,8.753,0.0099,15.095,0.0099,35.702,0.0099,63.016,0.0099,101.583,,
0.01,0,0.01,0,0.01,0.246,0.01,0.593,0.01,2.046,0.01,4.706,0.01,8.798,0.01,15.181,0.01,35.805,0.01,63.425,0.01,102.299,,
0.0101,0,0.0101,0,0.0101,0.247,0.0101,0.597,0.0101,2.066,0.0101,4.726,0.0101,8.89,0.0101,15.3,0.0101,36.009,0.0101,64.039,0.0101,103.322,,
0.0102,0,0.0102,0,0.0102,0.248,0.0102,0.602,0.0102,2.087,0.0102,4.747,0.0102,8.982,0.0102,15.419,0.0102,36.214,0.0102,64.653,0.0102,104.345,,
0.0103,0,0.0103,0,0.0103,0.249,0.0103,0.606,0.0103,2.107,0.0103,4.767,0.0103,9.074,0.0103,15.537,0.0103,36.418,0.0103,65.267,0.0103,105.368,,
0.0104,0,0.0104,0,0.0104,0.25,0.0104,0.61,0.0104,2.128,0.0104,4.788,0.0104,9.166,0.0104,15.656,0.0104,36.623,0.0104,65.881,0.0104,106.391,,
0.0105,0,0.0105,0,0.0105,0.251,0.0105,0.614,0.0105,2.148,0.0105,4.808,0.0105,9.258,0.0105,15.775,0.0105,36.828,0.0105,66.494,0.0105,107.414,,
0.0106,0,0.0106,0,0.0106,0.252,0.0106,0.618,0.0106,2.169,0.0106,4.829,0.0106,9.35,0.0106,15.893,0.0106,37.032,0.0106,67.108,0.0106,108.437,,
